metabolite,tissue,estimate_trt_trtlive,estimate_leaf_value_scale,p.value_trt_trtlive,p.value_leaf_value_scale,FDR_trt_trtlive,FDR_leaf_value_scale
galactinol,root,932.4143525715831,0.45085272780006197,0.02216675104657173,0.004821529387281956,0.09873687676526902,0.47226361431443314
dehydroascorbic acid,root,65.64785420800064,0.4243128391463191,0.0031475802303154287,0.008464640773345933,0.039569580038251104,0.47226361431443314
fructose-6-phosphate,root,26.58679649773214,0.41817675626028467,0.007886857570107665,0.009580586447517844,0.05338795893611342,0.47226361431443314
cyano-l-alanine,root,-223.76803126072883,-0.41244652513030367,0.005914257590564543,0.010733263961691662,0.04525692764953737,0.47226361431443314
guanine,leaf,63.99791212054756,-0.41281348956718855,0.08448483609823604,0.012342842854390395,0.9281005133196085,0.19748548567024632
cyanoalanine,root,-213.43104929007612,-0.3959774790551845,0.00103364217332351,0.014720159437100137,0.018192102250493777,0.5181496121859249
glucose-6-phosphate,root,58.08887979494516,0.3850843687494679,0.0036864033633655677,0.01798893691151985,0.040550436997021246,0.5276754827379155
uracil,leaf,47.491994371491415,-0.39130355490456614,0.07913278656529095,0.018278230663734733,0.9281005133196085,0.22875438327663908
melezitose,root,-1.7723520235157786,-0.37344782614464755,0.06678918349058506,0.02212909780423882,0.20146131940241208,0.5563887447922904
shikimic acid,root,109.31850350986606,0.3449303668955568,0.003498097836473037,0.03569695226084747,0.040550436997021246,0.7853329497386444
"2,5-dihydroxypyrazine NIST",leaf,16.12326004149405,-0.3267869999263954,0.04343913860490308,0.051738112785156186,0.9281005133196085,0.275936601520833
fumaric acid,leaf,3426.052171166704,-0.3089028282144921,0.046116169641672096,0.06678346580850188,0.9281005133196085,0.3197559327588092
cis-sinapinic acid,leaf,16.533328186717853,0.3065051937642681,0.02098084539357523,0.0690382127547429,0.92315719731731,0.3197559327588092
thymine,root,-5.211620657725518,-0.29848275008733566,0.00292948169637683,0.07161022059518131,0.039569580038251104,0.9664902644615015
cyano-l-alanine,leaf,-8.592821980525498,-0.2871051572574696,0.018926043806728993,0.08954741410125233,0.92315719731731,0.3426161930830524
inositol-4-monophosphate,root,9.187466318445695,0.276953772120451,1.798941791646778e-5,0.09577831390338185,0.0029263411512784328,0.9664902644615015
phosphate,root,2731.3945041918305,0.2766314383097902,6.757805733677196e-5,0.09618230380397151,0.0029263411512784328,0.9664902644615015
